,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
2,25,49.78,663.25,50.69,50.00,0.00,50.00,50.00,0.00,78.00,50.90,663.25,51.19,51.19,424.48,-1869758.09,4.22,-1427014.78,-7.26,363031.78,24.94,412696.80,2.10,46.03,51.19,238.77,-286760.66,4.22,-218858.10,-1.98,55677.38,24.94,63294.40,0.57,49.79,35.00,50.00,0.00,50.00,50.00,0.00,50.00,51.19,238.77,51.19
2,26,47.38,866.56,49.29,50.00,0.00,50.00,50.00,0.00,78.00,50.69,866.56,51.00,51.00,554.60,-2484571.51,4.21,-1894733.43,-7.38,354349.57,25.00,402708.96,1.57,45.19,51.00,311.96,-381053.24,4.21,-290591.08,-2.01,54345.81,25.00,61762.58,0.43,49.41,34.00,50.00,0.00,50.00,50.00,0.00,50.00,51.00,311.96,51.00
2,27,46.71,979.20,48.75,50.00,0.00,50.00,50.00,0.00,78.00,49.29,979.20,49.60,49.60,626.69,-2820367.91,4.14,-2138387.63,-7.37,354349.57,25.43,401889.77,1.39,43.61,49.60,352.51,-432553.59,4.14,-327959.78,-2.01,54345.81,25.43,61636.95,0.38,47.96,31.00,50.00,0.00,50.00,50.00,0.00,50.00,49.60,352.51,49.60
2,28,45.18,1055.62,47.68,50.00,0.00,50.00,50.00,0.00,78.00,48.75,1055.62,49.06,49.06,675.60,-3048183.36,4.11,-2305832.34,-7.37,354349.57,25.60,401582.87,1.28,42.97,49.06,380.02,-467493.14,4.11,-353640.41,-2.01,54345.81,25.60,61589.88,0.35,47.40,25.00,50.00,0.00,50.00,50.00,0.00,50.00,49.06,380.02,49.06
2,29,44.57,1058.57,47.20,50.00,0.00,50.00,50.00,0.00,78.00,47.68,1058.57,47.99,47.99,677.48,-3056960.48,4.05,-2301730.52,-7.34,354349.57,25.93,400985.53,1.28,41.93,47.99,381.08,-468839.27,4.05,-353011.32,-2.00,54345.81,25.93,61498.26,0.35,46.34,21.00,50.00,0.00,50.00,50.00,0.00,50.00,47.99,381.08,47.99
2,30,43.52,1080.39,46.31,50.00,0.00,50.00,50.00,0.00,78.00,47.20,1080.39,47.52,47.52,691.45,-3099894.32,4.02,-2329096.94,-7.28,376479.43,26.07,425749.98,1.33,41.57,47.52,388.94,-475423.93,4.02,-357208.45,-1.98,57739.82,26.07,65296.33,0.36,45.90,20.00,50.00,0.00,50.00,50.00,0.00,50.00,47.52,388.94,47.52
2,31,43.13,1103.49,45.94,50.00,0.00,50.00,50.00,0.00,78.00,46.31,1103.49,46.62,46.62,706.23,-3102791.70,3.97,-2321720.61,-7.10,442444.83,26.35,499741.50,1.53,41.05,46.62,397.26,-475868.30,3.97,-356077.15,-1.94,67856.79,26.35,76644.25,0.42,45.10,20.00,50.00,0.00,50.00,50.00,0.00,50.00,46.62,397.26,46.62
2,32,42.51,2058.39,44.05,50.00,0.00,50.00,50.00,0.00,78.00,45.94,2058.39,46.27,46.27,1317.37,-5310484.71,3.95,-3967130.61,-6.50,1081477.33,26.46,1220954.32,2.00,41.77,46.27,741.02,-814457.29,3.95,-608430.05,-1.77,165863.79,26.46,187255.06,0.55,45.04,21.00,50.00,0.00,50.00,50.00,0.00,50.00,46.27,741.02,46.27
2,33,42.94,2100.00,44.41,50.00,0.00,50.00,50.00,0.00,78.00,44.05,2100.00,44.38,44.38,1344.00,-5507170.02,3.85,-4076571.01,-6.55,1088310.59,27.04,1225649.63,1.97,39.80,44.38,756.00,-844622.48,3.85,-625214.68,-1.79,166911.79,27.04,187975.17,0.54,43.13,22.00,50.00,0.00,50.00,50.00,0.00,50.00,44.38,756.00,44.38
2,34,41.00,1476.31,43.35,50.00,0.00,50.00,50.00,0.00,78.00,44.41,1476.31,44.73,44.73,944.84,-3740361.09,3.87,-2773612.72,-6.34,916313.31,26.93,1032416.24,2.36,40.75,44.73,531.47,-573650.91,3.87,-425382.85,-1.73,140532.94,26.93,158339.40,0.64,43.65,24.00,50.00,0.00,50.00,50.00,0.00,50.00,44.73,531.47,44.73
2,35,41.79,1354.12,44.31,50.00,0.00,50.00,50.00,0.00,78.00,43.35,1354.12,43.67,43.67,866.64,-3171201.15,3.81,-2339010.17,-5.83,1121214.12,27.26,1261572.01,3.14,40.98,43.67,487.48,-486360.10,3.81,-358728.82,-1.59,171958.13,27.26,193484.51,0.86,42.94,24.00,50.00,0.00,50.00,50.00,0.00,50.00,43.67,487.48,43.67
2,36,41.69,1401.11,44.12,50.00,0.00,50.00,50.00,0.00,78.00,44.31,1401.11,44.63,44.63,896.71,-3060478.66,3.86,-2268327.19,-5.46,1372012.91,26.96,1545656.52,3.72,42.89,44.63,504.40,-469378.84,3.86,-347888.32,-1.49,210422.59,26.96,237053.92,1.02,44.16,23.00,50.00,0.00,50.00,50.00,0.00,50.00,44.63,504.40,44.63
2,37,43.35,1385.84,45.60,50.00,0.00,50.00,50.00,0.00,78.00,44.12,1385.84,44.44,44.44,886.94,-2981601.61,3.85,-2207744.57,-5.38,1405365.46,27.02,1582838.76,3.85,42.92,44.44,498.90,-457281.64,3.85,-338596.90,-1.47,215537.79,27.02,242756.48,1.05,44.02,23.00,50.00,0.00,50.00,50.00,0.00,50.00,44.44,498.90,44.44
2,38,43.32,1390.29,45.57,50.00,0.00,50.00,50.00,0.00,78.00,45.60,1390.29,45.92,45.92,889.79,-2895221.96,3.93,-2159301.65,-5.24,1505021.87,26.56,1698343.44,4.12,44.80,45.92,500.50,-444033.79,3.93,-331167.32,-1.43,230821.88,26.56,260471.18,1.12,45.62,24.00,50.00,0.00,50.00,50.00,0.00,50.00,45.92,500.50,45.92
